"state","pollster","size","date","candidate","percentage"
"Louisiana","Trafalgar Group",1002,"8/24/20 14:10","Trump",54.3
"Louisiana","Trafalgar Group",1002,"8/24/20 14:10","Jorgensen",2.5
"Pennsylvania","Muhlenberg College",416,"8/20/20 12:59","Biden",49
"Pennsylvania","Muhlenberg College",416,"8/20/20 12:59","Trump",45
"","USC Dornsife/Los Angeles Times",1952,"8/28/20 6:00","Biden",51.15
"","USC Dornsife/Los Angeles Times",1952,"8/28/20 6:00","Trump",41.02
"","USC Dornsife/Los Angeles Times",1945,"8/28/20 6:00","Biden",52.69
"","USC Dornsife/Los Angeles Times",1945,"8/28/20 6:00","Trump",40.33
"Florida","Redfield & Wilton Strategies",1280,"8/21/20 19:00","Biden",49
"Florida","Redfield & Wilton Strategies",1280,"8/21/20 19:00","Trump",41
"Florida","Redfield & Wilton Strategies",1280,"8/21/20 19:00","Jorgensen",1
"Florida","Redfield & Wilton Strategies",1280,"8/21/20 19:00","Hawkins",1
"","Morning Consult",11809,"8/17/20 18:05","Biden",51
"","Morning Consult",11809,"8/17/20 18:05","Trump",43
"","Léger",1001,"8/17/20 22:42","Biden",51
"","Léger",1001,"8/17/20 22:42","Trump",35
"Wisconsin","Morning Consult",788,"8/17/20 18:01","Biden",49
"Wisconsin","Morning Consult",788,"8/17/20 18:01","Trump",43
"","YouGov",1158,"8/17/20 14:21","Biden",49
"","YouGov",1158,"8/17/20 14:21","Trump",38
"","YouGov",1027,"8/17/20 14:21","Biden",50
"","YouGov",1027,"8/17/20 14:21","Trump",41
"Georgia","Landmark Communications",500,"8/17/20 16:03","Biden",44.5
"Georgia","Landmark Communications",500,"8/17/20 16:03","Trump",47.4
"Georgia","Landmark Communications",500,"8/17/20 16:03","Jorgensen",4.4
"","Morning Consult",12000,"8/17/20 18:05","Biden",51
"","Morning Consult",12000,"8/17/20 18:05","Trump",43
"","SSRS",987,"8/16/20 20:15","Biden",50
"","SSRS",987,"8/16/20 20:15","Trump",46
"","ABC News/The Washington Post",1001,"8/17/20 6:03","Biden",53
"","ABC News/The Washington Post",1001,"8/17/20 6:03","Trump",41
"","ABC News/The Washington Post",868,"8/17/20 6:03","Biden",53
"","ABC News/The Washington Post",868,"8/17/20 6:03","Trump",41
"","ABC News/The Washington Post",707,"8/17/20 6:03","Biden",54
"","ABC News/The Washington Post",707,"8/17/20 6:03","Trump",44
"","Data for Progress",1143,"8/20/20 11:33","Biden",50
"","Data for Progress",1143,"8/20/20 11:33","Trump",41
"","YouGov",2152,"8/16/20 18:25","Biden",52
"","YouGov",2152,"8/16/20 18:25","Trump",42
"","Morning Consult",12000,"8/17/20 18:05","Biden",51
"","Morning Consult",12000,"8/17/20 18:05","Trump",42
"","Harris Insights & Analytics",2823,"8/18/20 19:22","Biden",45
"","Harris Insights & Analytics",2823,"8/18/20 19:22","Trump",39
"","Morning Consult",3735,"8/20/20 6:54","Biden",49
"","Morning Consult",3735,"8/20/20 6:54","Trump",39
"North Carolina","East Carolina University",1255,"8/16/20 17:06","Biden",46.5
"North Carolina","East Carolina University",1255,"8/16/20 17:06","Trump",46.9
"","Morning Consult",12000,"8/17/20 18:05","Biden",51
"","Morning Consult",12000,"8/17/20 18:05","Trump",42
"Texas","Global Strategy Group",700,"8/20/20 12:07","Biden",47
"Texas","Global Strategy Group",700,"8/20/20 12:07","Trump",45
"New Jersey","DKC Analytics",500,"8/21/20 9:32","Biden",52
"New Jersey","DKC Analytics",500,"8/21/20 9:32","Trump",33
"Texas","YouGov",846,"8/17/20 9:31","Biden",40.5
"Texas","YouGov",846,"8/17/20 9:31","Trump",47.5
"Texas","YouGov",846,"8/17/20 9:31","Jorgensen",1.1
"Texas","YouGov",846,"8/17/20 9:31","Hawkins",0.8
"California","SurveyUSA",500,"8/13/20 7:35","Biden",56
"California","SurveyUSA",500,"8/13/20 7:35","Trump",28
"","Morning Consult",3280,"8/13/20 12:03","Biden",51
"","Morning Consult",3280,"8/13/20 12:03","Trump",43
"","Redfield & Wilton Strategies",1867,"8/17/20 16:54","Biden",48.14
"","Redfield & Wilton Strategies",1867,"8/17/20 16:54","Trump",40.94
"","Redfield & Wilton Strategies",1867,"8/17/20 16:54","Jorgensen",1.72
"","Redfield & Wilton Strategies",1867,"8/17/20 16:54","Hawkins",0.84
"","Morning Consult",12000,"8/17/20 18:05","Biden",51
"","Morning Consult",12000,"8/17/20 18:05","Trump",43
"","Fox News/Beacon Research/Shaw & Co. Research",1000,"8/13/20 18:05","Biden",49
"","Fox News/Beacon Research/Shaw & Co. Research",1000,"8/13/20 18:05","Trump",42
"","NBC News/The Wall Street Journal",900,"8/16/20 8:57","Biden",50
"","NBC News/The Wall Street Journal",900,"8/16/20 8:57","Trump",41
"Louisiana","ALG Research",800,"8/19/20 12:49","Biden",43
"Louisiana","ALG Research",800,"8/19/20 12:49","Trump",50
"","Morning Consult",4000,"8/13/20 12:27","Biden",51
"","Morning Consult",4000,"8/13/20 12:27","Trump",42
"","Data for Progress",880,"8/14/20 9:00","Biden",51.66
"","Data for Progress",880,"8/14/20 9:00","Trump",41.04
"","Data for Progress",782,"8/14/20 9:00","Biden",52.42
"","Data for Progress",782,"8/14/20 9:00","Trump",39.66
"","Ipsos",1215,"8/12/20 15:59","Biden",56
"","Ipsos",1215,"8/12/20 15:59","Trump",43
"","Ipsos",1215,"8/12/20 15:59","Biden",43
"","Ipsos",1215,"8/12/20 15:59","Trump",37
"","Ipsos",1215,"8/12/20 15:59","Jorgensen",2
"","Ipsos",1215,"8/12/20 15:59","Hawkins",1
"","Ipsos",1215,"8/12/20 15:59","West",3
"","Ipsos",1034,"8/12/20 15:59","Biden",58
"","Ipsos",1034,"8/12/20 15:59","Trump",42
"","Ipsos",1034,"8/12/20 15:59","Biden",47
"","Ipsos",1034,"8/12/20 15:59","Trump",38
"","Ipsos",1034,"8/12/20 15:59","Jorgensen",2
"","Ipsos",1034,"8/12/20 15:59","Hawkins",1
"","Ipsos",1034,"8/12/20 15:59","West",2
"","YouGov",1208,"8/12/20 9:39","Biden",49
"","YouGov",1208,"8/12/20 9:39","Trump",39
"","Morning Consult",12000,"8/17/20 18:19","Biden",50
"","Morning Consult",12000,"8/17/20 18:19","Trump",43
"","Harris Insights & Analytics",2828,"8/12/20 17:46","Biden",44
"","Harris Insights & Analytics",2828,"8/12/20 17:46","Trump",40
"","Rasmussen Reports/Pulse Opinion Research",3000,"8/12/20 11:37","Biden",49
"","Rasmussen Reports/Pulse Opinion Research",3000,"8/12/20 11:37","Trump",43
"","Marist College",1118,"8/14/20 6:25","Biden",53
"","Marist College",1118,"8/14/20 6:25","Trump",42
"","Morning Consult",4000,"8/13/20 12:26","Biden",50
"","Morning Consult",4000,"8/13/20 12:26","Trump",43
"","Morning Consult",1983,"8/12/20 6:05","Biden",49
"","Morning Consult",1983,"8/12/20 6:05","Trump",40
"","Morning Consult",1983,"8/12/20 6:05","West",2
"Minnesota","Emerson College",733,"8/11/20 12:00","Biden",51
"Minnesota","Emerson College",733,"8/11/20 12:00","Trump",49
"Arizona","Emerson College",661,"8/11/20 19:05","Biden",53.3
"Arizona","Emerson College",661,"8/11/20 19:05","Trump",46.7
"North Carolina","Emerson College",673,"8/11/20 19:05","Biden",49.41
"North Carolina","Emerson College",673,"8/11/20 19:05","Trump",50.59
"Pennsylvania","Emerson College",843,"8/11/20 19:05","Biden",53.31
"Pennsylvania","Emerson College",843,"8/11/20 19:05","Trump",46.69
"","Morning Consult",12000,"8/17/20 18:05","Biden",51
"","Morning Consult",12000,"8/17/20 18:05","Trump",43
"","Monmouth University",785,"8/11/20 12:02","Biden",51
"","Monmouth University",785,"8/11/20 12:02","Trump",41
"","Monmouth University",785,"8/11/20 12:02","Jorgensen",2
"","Monmouth University",785,"8/11/20 12:02","Hawkins",1
"","Global Strategy Group/GBAO/Navigator Research",1419,"8/14/20 6:26","Biden",52
"","Global Strategy Group/GBAO/Navigator Research",1419,"8/14/20 6:26","Trump",42
"North Carolina","Harper Polling",600,"8/13/20 12:14","Biden",45
"North Carolina","Harper Polling",600,"8/13/20 12:14","Trump",44
"North Carolina","Harper Polling",600,"8/13/20 12:14","Jorgensen",2
"North Carolina","Harper Polling",600,"8/13/20 12:14","Blankenship",1
"North Carolina","Harper Polling",600,"8/13/20 12:14","Hawkins",1
"","Morning Consult",2200,"8/20/20 9:25","Biden",47
"","Morning Consult",2200,"8/20/20 9:25","Trump",36
"","Morning Consult",4000,"8/13/20 12:26","Biden",50
"","Morning Consult",4000,"8/13/20 12:26","Trump",43
"California","Redfield & Wilton Strategies",1904,"8/14/20 14:49","Biden",61
"California","Redfield & Wilton Strategies",1904,"8/14/20 14:49","Trump",25
"California","Redfield & Wilton Strategies",1904,"8/14/20 14:49","Jorgensen",1
"California","Redfield & Wilton Strategies",1904,"8/14/20 14:49","Hawkins",1
"","Morning Consult",11967,"8/10/20 23:49","Biden",51
"","Morning Consult",11967,"8/10/20 23:49","Trump",43
"","Change Research",2143,"8/12/20 5:35","Biden",50
"","Change Research",2143,"8/12/20 5:35","Trump",44
"","Change Research",2143,"8/12/20 5:35","Jorgensen",3
"","Change Research",2143,"8/12/20 5:35","Hawkins",1
"Arizona","Change Research",428,"8/12/20 5:35","Biden",45
"Arizona","Change Research",428,"8/12/20 5:35","Trump",44
"Florida","Change Research",469,"8/12/20 5:35","Biden",50
"Florida","Change Research",469,"8/12/20 5:35","Trump",44
"Michigan","Change Research",413,"8/12/20 5:35","Biden",48
"Michigan","Change Research",413,"8/12/20 5:35","Trump",43
"North Carolina","Change Research",491,"8/12/20 5:35","Biden",47
"North Carolina","Change Research",491,"8/12/20 5:35","Trump",48
"Pennsylvania","Change Research",456,"8/12/20 5:35","Biden",48
"Pennsylvania","Change Research",456,"8/12/20 5:35","Trump",44
"Wisconsin","Change Research",384,"8/12/20 5:35","Biden",47
"Wisconsin","Change Research",384,"8/12/20 5:35","Trump",43
"Massachusetts","MassINC Polling Group",501,"8/12/20 5:28","Biden",63
"Massachusetts","MassINC Polling Group",501,"8/12/20 5:28","Trump",27
"Kansas","SurveyUSA",1202,"8/12/20 14:01","Biden",41
"Kansas","SurveyUSA",1202,"8/12/20 14:01","Trump",48
"Wisconsin","Marquette University Law School",694,"8/11/20 13:17","Biden",50
"Wisconsin","Marquette University Law School",694,"8/11/20 13:17","Trump",46
"Wisconsin","Marquette University Law School",801,"8/11/20 13:22","Biden",50
"Wisconsin","Marquette University Law School",801,"8/11/20 13:22","Trump",45
"Mississippi","Garin-Hart-Yang Research Group",600,"8/13/20 11:50","Biden",43
"Mississippi","Garin-Hart-Yang Research Group",600,"8/13/20 11:50","Trump",53
"Maine","Critical Insights",500,"8/11/20 14:01","Biden",44
"Maine","Critical Insights",500,"8/11/20 14:01","Trump",36
"Maine","Critical Insights",453,"8/12/20 10:25","Biden",45
"Maine","Critical Insights",453,"8/12/20 10:25","Trump",38
"Maine CD-1","Critical Insights",250,"8/11/20 14:01","Biden",49
"Maine CD-1","Critical Insights",250,"8/11/20 14:01","Trump",33
"Maine CD-2","Critical Insights",249,"8/11/20 14:01","Biden",39
"Maine CD-2","Critical Insights",249,"8/11/20 14:01","Trump",38
"","RMG Research",1200,"8/10/20 13:11","Biden",45
"","RMG Research",1200,"8/10/20 13:11","Trump",37
"","RMG Research",1200,"8/10/20 13:11","Jorgensen",1
"","RMG Research",1200,"8/10/20 13:11","Hawkins",1
"","Morning Consult",12000,"8/10/20 23:49","Biden",51
"","Morning Consult",12000,"8/10/20 23:49","Trump",43
"Georgia","SurveyUSA",623,"8/11/20 7:11","Biden",46
"Georgia","SurveyUSA",623,"8/11/20 7:11","Trump",44
"Arizona","Trafalgar Group",1013,"8/10/20 16:08","Biden",44.8
"Arizona","Trafalgar Group",1013,"8/10/20 16:08","Trump",46.2
"Arizona","Trafalgar Group",1013,"8/10/20 16:08","Jorgensen",3.2
"North Carolina","Rasmussen Reports/Pulse Opinion Research",750,"8/10/20 19:14","Biden",47.26
"North Carolina","Rasmussen Reports/Pulse Opinion Research",750,"8/10/20 19:14","Trump",48.36
"","Morning Consult",12000,"8/10/20 23:49","Biden",51
"","Morning Consult",12000,"8/10/20 23:49","Trump",42
"Pennsylvania","YouGov",1211,"8/9/20 10:32","Biden",49
"Pennsylvania","YouGov",1211,"8/9/20 10:32","Trump",43
"Wisconsin","YouGov",994,"8/9/20 10:32","Biden",48
"Wisconsin","YouGov",994,"8/9/20 10:32","Trump",42
"","Léger",1007,"8/13/20 17:52","Biden",46
"","Léger",1007,"8/13/20 17:52","Pence",29
"","Léger",1007,"8/13/20 17:52","Jorgensen",4
"","Léger",1007,"8/13/20 17:52","West",5
"","Léger",1007,"8/13/20 17:52","Hawkins",2
"","Léger",1019,"8/13/20 17:52","Biden",47
"","Léger",1019,"8/13/20 17:52","Trump",39
"","Léger",1019,"8/13/20 17:52","Jorgensen",2
"","Léger",1019,"8/13/20 17:52","West",2
"","Léger",1019,"8/13/20 17:52","Hawkins",1
"Massachusetts","YouGov",500,"8/14/20 8:05","Biden",61
"Massachusetts","YouGov",500,"8/14/20 8:05","Trump",28
"Kansas","Public Policy Polling",864,"8/7/20 9:11","Biden",43
"Kansas","Public Policy Polling",864,"8/7/20 9:11","Trump",50
"Wisconsin","Rasmussen Reports/Pulse Opinion Research",750,"8/13/20 0:08","Biden",55.17
"Wisconsin","Rasmussen Reports/Pulse Opinion Research",750,"8/13/20 0:08","Trump",42.56
"","Morning Consult",12000,"8/10/20 23:49","Biden",51
"","Morning Consult",12000,"8/10/20 23:49","Trump",42
"","Georgetown University (Battleground)",1000,"8/10/20 10:28","Biden",53.28
"","Georgetown University (Battleground)",1000,"8/10/20 10:28","Trump",39.99
"Michigan","YouGov",761,"8/10/20 6:58","Biden",47
"Michigan","YouGov",761,"8/10/20 6:58","Trump",43
"Pennsylvania","YouGov",742,"8/10/20 6:58","Biden",50
"Pennsylvania","YouGov",742,"8/10/20 6:58","Trump",41
"Wisconsin","YouGov",734,"8/10/20 6:59","Biden",49
"Wisconsin","YouGov",734,"8/10/20 6:59","Trump",43
"","Morning Consult",12000,"8/10/20 23:49","Biden",51
"","Morning Consult",12000,"8/10/20 23:49","Trump",42
"","Harris Insights & Analytics",2850,"8/5/20 17:51","Biden",43
"","Harris Insights & Analytics",2850,"8/5/20 17:51","Trump",40
"Texas","Trafalgar Group",1015,"8/7/20 10:58","Biden",43.4
"Texas","Trafalgar Group",1015,"8/7/20 10:58","Trump",49.4
"Texas","Trafalgar Group",1015,"8/7/20 10:58","Jorgensen",1.8
"","Research Co.",1018,"8/7/20 8:07","Biden",48
"","Research Co.",1018,"8/7/20 8:07","Trump",38
"","Research Co.",1018,"8/7/20 8:07","Jorgensen",2
"","Research Co.",1018,"8/7/20 8:07","Hawkins",1
"","Ipsos",1115,"8/5/20 14:41","Biden",54
"","Ipsos",1115,"8/5/20 14:41","Trump",45
"","Ipsos",964,"8/5/20 14:41","Biden",56
"","Ipsos",964,"8/5/20 14:41","Trump",44
"Arizona","OH Predictive Insights",603,"8/10/20 10:17","Biden",49
"Arizona","OH Predictive Insights",603,"8/10/20 10:17","Trump",45
"","YouGov",1229,"8/5/20 10:07","Biden",49
"","YouGov",1229,"8/5/20 10:07","Trump",40
